,income_level,sex,age,town,occupation,height,1sibling,2home,3educ,4travel,5credit,6cr sum,7card,8pastime,9changes,10daily travel,11travel mode,12conscious,13accounts,14sum,15mobile,16mobtime,17car,18internet,19sport,20vegan,21civil,22polit,23ill,24medicine,25doctor,26covid,27advert,28culture,29food,30children,31rooms,32valuables,33cloths,34jewels,35smoke,36alcohol,37music,38face,39twitter,40online1,41online2,42TV,43refurb,44move,45travdest
0,1,female,60,Nagykanizsa,Szakorvos ,168,3,0,4,0,1,1,1,1,2,5,1,0,0,1922839,1,0,0,0,1,0,0,0,1,1,4,0,0,4,0,0,0,0,2,0,1,1,2,1,0,2,2,0,1,1,1
1,1,male,40,Nagykanizsa,Lakatos ,170,4,0,3,1,1,2,1,1,3,1,0,0,0,191113,0,0,1,0,1,0,0,1,1,0,5,2,1,1,0,0,3,1342,1,2,1,1,0,0,0,1,2,1,1,1,1
2,0,male,49,Budakeszi,asztalos ,196,3,0,1,0,1,0,1,1,2,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,4,3,0,115407,2,3,1,3,2,0,0,0,0,1,0,1,1
3,0,male,47,Nagykanizsa,Szakorvos ,166,0,0,3,1,1,2,0,2,2,1,0,0,0,855330,1,1,0,0,1,0,1,1,0,1,3,2,1,1,0,0,0,0,3,0,1,3,1,1,0,2,0,1,1,0,1
4,0,female,41,Budakeszi,asztalos ,173,3,0,3,0,1,1,1,2,2,1,4,0,0,0,1,0,1,0,1,1,0,1,1,0,5,1,1,1,0,1,3,0,2,3,0,1,2,1,0,0,0,1,1,0,1
5,0,female,58,Nagykanizsa,asztalos ,186,0,0,1,0,0,1,0,1,0,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,3,1,0,1,2,0,1,726,3,1,1,3,0,0,0,0,2,0,0,0,3
6,1,female,26,Nagykanizsa,Szakorvos ,190,4,1,4,0,1,1,1,1,3,3,1,0,1,1956271,1,0,0,0,1,0,1,0,1,0,5,1,0,4,1,0,1,743,2,0,1,3,0,1,0,2,2,1,0,0,1
7,0,male,56,Nagykanizsa,asztalos ,172,3,0,3,1,1,1,1,1,2,0,4,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,2,0,4,0,3,2,0,3,0,1,0,1,0,1,1,1,1
8,1,female,60,Nagykanizsa,Lakatos ,171,4,0,3,1,1,1,1,1,3,1,4,0,1,0,1,1,0,0,1,0,0,1,1,1,5,2,0,3,2,4,1,2143,2,1,1,2,2,1,1,1,0,0,1,0,1
9,0,male,48,Budakeszi,asztalos ,176,1,0,3,1,1,1,1,1,2,5,3,0,0,378601,1,0,0,0,1,0,0,0,1,0,3,1,1,4,1,0,4,0,3,3,1,1,0,0,0,1,0,1,1,0,1
